0,0
42,10
43,1
33,50
77,38
71,32
34,71
8,56
79,67
31,0
96,90
87,95
7,25
96,22
11,5
94,16
16,36
5,29
27,22
14,76
57,20
76,13
44,24
66,40
27,36
33,40
0,14
76,6
67,35
65,26
60,30
51,36
75,68
44,45
14,59
62,34
4,37
62,54
33,33
99,68
43,8
57,29
22,9
28,11
73,39
86,13
88,67
11,48
32,14
29,67
96,81
49,31
65,81
79,18
28,5
46,57
15,89
53,72
48,19
10,39
2,55
48,100
7,96
28,80
27,76
20,98
83,13
65,68
65,95
61,55
19,10
16,7
11,83
44,37
5,13
87,61
68,35
24,93
48,95
62,3
62,27
38,84
61,23
6,24
6,88
79,19
74,57
91,96
87,32
19,37
76,63
88,3
97,87
68,86
53,73
94,88
48,10
57,11
55,75
72,7
